Scenario - PerceptionDeplacement
Logfile written - 01/02/2021 21:59:03

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

BV	13871	Response	10	9473863	141	1
BV	13873	Response	11	10022119	548165	1
BV	13974	Response	10	10074683	153	1
BV	14146	Response	10	10138668	28	1
BV	14202	Response	10	10183556	121	1
BV	14273	Response	10	10230778	51	1
BV	14275	Response	10	10254029	22969	1
BV	14278	Response	10	10280601	13572	1
BV	15137	Response	10	10481148	140	1
BV	15227	Response	10	10531581	117	1
BV	15283	Response	10	10578548	125	1
BV	15285	Response	10	10580703	1946	1
BV	15745	Response	10	10726440	146	1
BV	15839	Response	10	10777465	49	1
BV	15961	Response	10	10833302	102	1
BV	16024	Response	10	10879281	121	1
BV	16026	Response	9	10894799	15306	1
BV	16112	Response	10	10944921	151	1
BV	16284	Response	10	11008945	64	1
BV	16399	Response	10	11063534	35	1
BV	16506	Response	10	11116908	122	1
BV	16695	Response	10	11183847	120	1
BV	16840	Response	10	11243422	80	1
BV	16971	Response	10	11303220	97	1
BV	17111	Response	10	11362044	139	1
BV	17178	Response	10	11411024	162	1
BV	17295	Response	10	11465909	95	1
BV	17297	Response	5	11486015	19868	1
BV	17489	Response	10	11553629	58	1
BV	17566	Response	10	11601873	11	1
BV	17614	Response	10	11645358	34	1
BV	17709	Response	10	11696670	58	1
BV	17817	Response	10	11750175	109	1
BV	17907	Response	10	11800682	160	1
BV	18010	Response	10	11853298	155	1
BV	18371	Response	10	11948754	28	1
BV	18475	Response	10	12001676	163	1
BV	18602	Response	10	12058250	120	1
BV	18604	Response	9	12076284	17821	1
BV	18699	Response	10	12127762	26	1
BV	18826	Response	10	12184476	123	1
BV	18978	Response	10	12245211	78	1
BV	19055	Response	10	12293458	33	1
BV	19156	Response	10	12345787	75	1
BV	19229	Response	10	12395711	42	1
BV	19274	Response	10	12438688	57	1
BV	19482	Response	10	12508861	124	1
BV	19609	Response	10	12565367	14	1
BV	19683	Response	10	12613245	100	1
BV	19685	Response	8	12634403	20925	1
BV	19853	Response	10	12697967	63	1
BV	19986	Response	10	12755562	41	1
BV	20033	Response	10	12798906	90	1
BV	20171	Response	10	12857391	125	1
BV	20257	Response	10	12907164	109	1
BV	20327	Response	10	12954304	123	1
BV	20425	Response	10	13005987	19	1
BV	20500	Response	10	13054082	156	1
BV	20565	Response	10	13100350	131	1
BV	20567	Response	11	13134101	33649	1
BV	20761	Response	10	13202028	64	1
BV	20855	Response	10	13253113	27	1
BV	20920	Response	10	13299380	1	2
BV	21030	Response	10	13355445	115	1
BV	21215	Response	10	13421673	67	1
BV	21395	Response	10	13487085	37	1
BV	21501	Response	10	13540296	128	1
BV	21605	Response	10	13593064	108	1
BV	21684	Response	10	13641594	14	1
BV	21760	Response	10	13689834	130	1
BV	21817	Response	10	13734718	52	1
BV	21819	Response	9	13750822	15824	1
BV	21897	Response	10	13801526	86	1
BV	22011	Response	10	13855974	81	1
BV	22050	Response	10	13900117	96	1
BV	22111	Response	10	13945658	11	1
BV	22195	Response	10	13995283	13	1
BV	22385	Response	10	14062437	58	1
BV	22460	Response	10	14110388	51	1
BV	22601	Response	10	14171790	7	1
BV	22700	Response	10	14223982	78	1
BV	22761	Response	10	14269663	132	1
BV	22763	Response	9	14289650	19786	1
BV	22837	Response	10	14339685	48	1
BV	22903	Response	10	14386103	7	1
BV	22942	Response	10	14428122	63	1
BV	23117	Response	10	14492670	1	1
BV	23203	Response	10	14542583	124	1
BV	23323	Response	10	14597992	81	1
BV	23529	Response	10	14667785	102	1
BV	23599	Response	10	14714934	125	1
BV	23662	Response	10	14760831	62	1
BV	23722	Response	10	14806366	137	1
BV	23724	Response	8	14826652	20091	1
BV	23840	Response	10	14881573	76	1
BV	23961	Response	10	14937186	72	1
BV	24031	Response	10	14984324	84	1
BV	24085	Response	10	15028702	1	2
BV	24180	Response	10	15080080	91	1
BV	24289	Response	10	15133721	112	1
BV	24382	Response	10	15184659	94	1
BV	24495	Response	10	15238899	48	1
BV	24562	Response	10	15285589	112	1
BV	24732	Response	10	15349404	150	1
BV	24734	Response	9	15366885	17298	1
BV	24791	Response	10	15412110	77	1
BV	24852	Response	10	15457784	124	1
BV	24946	Response	10	15508882	100	1
BV	25026	Response	10	15557774	35	1
BV	25063	Response	10	15599502	132	1
BV	25140	Response	10	15647741	81	1
BV	25415	Response	10	15729010	87	1
BV	25483	Response	10	15775868	153	1
BV	25520	Response	10	15817381	36	1
BV	25601	Response	10	15866343	40	1
BV	25670	Response	10	15913262	1	2
BV	25708	Response	10	15955063	5	1
BV	25865	Response	10	16018863	27	1


{
   "app": "Presentation Version 22.0 Build 05.10.20",
   "device": "Dell Inc. G5 5590",
